seed,f,source,kind,near_deep,released,level_ok,sigma_floor_ok,stagnated,basin_best,level,sigma_over_floor,no_improve,stag_need,spill_i,spill_evals,binding,hunt_start,first_sigma,first_level,first_stag
3,1.020062e-05,sol_archive,depth,0,True,False,True,True,1.020062e-05,1.000e-05,1.449,720,225,145,110409,depth,109694,110409,,109914
3,1.046850e-05,sol_archive,depth,0,True,False,True,True,1.046850e-05,1.000e-05,1.449,720,225,253,190129,depth,189414,190129,,189634
3,1.075562e-05,sol_archive,depth,0,True,False,True,True,1.075562e-05,1.000e-05,1.449,720,225,491,366039,depth,365324,366039,,365544
3,1.152857e-05,sol_archive,depth,0,True,False,True,True,1.152857e-05,1.000e-05,1.449,720,225,30,25379,depth,24664,25379,,24884
3,1.156036e-05,sol_archive,depth,0,True,False,True,True,1.156036e-05,1.000e-05,1.449,720,225,184,139239,depth,138524,139239,,138744
3,1.286746e-05,sol_archive,depth,0,True,False,True,True,1.286746e-05,1.000e-05,1.449,720,225,479,357209,depth,356494,357209,,356714
3,1.340573e-05,sol_archive,depth,0,True,False,True,True,1.340573e-05,1.000e-05,1.449,720,225,200,151044,depth,150329,151044,,150549
3,1.343427e-05,sol_archive,depth,0,True,False,True,True,1.343427e-05,1.000e-05,1.449,720,225,252,189389,depth,188674,189389,,188894
3,1.389153e-05,sol_archive,depth,0,True,False,True,True,1.389153e-05,1.000e-05,1.449,720,225,468,349074,depth,348359,349074,,348579
3,1.448969e-05,sol_archive,depth,0,True,False,True,True,1.448969e-05,1.000e-05,1.449,720,225,23,20199,depth,19484,20199,,19704
3,1.474040e-05,sol_archive,depth,0,True,False,True,True,1.474040e-05,1.000e-05,1.449,720,225,365,272929,depth,272214,272929,,272434
3,1.475676e-05,sol_archive,depth,0,True,False,True,True,1.475676e-05,1.000e-05,1.449,720,225,359,268489,depth,267774,268489,,267994
3,1.488981e-05,sol_archive,depth,0,True,False,True,True,1.488981e-05,1.000e-05,1.449,720,225,293,219709,depth,218994,219709,,219214
3,1.492464e-05,sol_archive,depth,0,True,False,True,True,1.492464e-05,1.000e-05,1.449,720,225,409,305469,depth,304754,305469,,304974
3,1.519425e-05,sol_archive,depth,0,True,False,True,True,1.519425e-05,1.000e-05,1.449,720,225,421,314314,depth,313599,314314,,313819
3,1.569491e-05,sol_archive,depth,0,True,False,True,True,1.569491e-05,1.000e-05,1.449,720,225,64,50534,depth,49819,50534,,50039
3,1.594692e-05,sol_archive,depth,0,True,False,True,True,1.594692e-05,1.000e-05,1.449,720,225,238,179039,depth,178324,179039,,178544
3,1.605514e-05,sol_archive,depth,0,True,False,True,True,1.605514e-05,1.000e-05,1.449,720,225,254,190869,depth,190154,190869,,190374
3,1.622394e-05,sol_archive,depth,0,True,False,True,True,1.622394e-05,1.000e-05,1.449,720,225,2,4689,depth,3974,4689,,4194
3,1.680965e-05,sol_archive,depth,0,True,False,True,True,1.680965e-05,1.000e-05,1.449,720,225,404,301789,depth,301074,301789,,301294
3,1.958538e-05,sol_archive,depth,0,True,False,True,True,1.958538e-05,1.000e-05,1.449,720,225,376,281069,depth,280354,281069,,280574
3,2.026347e-05,sol_archive,depth,0,True,False,True,True,2.026347e-05,1.000e-05,1.449,720,225,316,236714,depth,235999,236714,,236219
3,2.094443e-05,sol_archive,depth,0,True,False,True,True,2.094443e-05,1.000e-05,1.449,720,225,377,281809,depth,281094,281809,,281314
3,2.138793e-05,sol_archive,depth,0,True,False,True,True,2.138793e-05,1.000e-05,1.449,720,225,528,393364,depth,392649,393364,,392869
3,2.204390e-05,sol_archive,depth,0,True,False,True,True,2.204390e-05,1.000e-05,1.449,720,225,67,52754,depth,52039,52754,,52259
3,2.274660e-05,sol_archive,depth,0,True,False,True,True,2.274660e-05,1.000e-05,1.449,720,225,467,348334,depth,347619,348334,,347839
3,2.275403e-05,sol_archive,depth,0,True,False,True,True,2.275403e-05,1.000e-05,1.449,720,225,425,317254,depth,316539,317254,,316759
3,2.349332e-05,sol_archive,depth,0,True,False,True,True,2.349332e-05,1.000e-05,1.449,720,225,127,97119,depth,96404,97119,,96624
3,2.424880e-05,sol_archive,depth,0,True,False,True,True,2.424880e-05,1.000e-05,1.449,720,225,510,380079,depth,379364,380079,,379584
3,2.508876e-05,sol_archive,depth,0,True,False,True,True,2.508876e-05,1.000e-05,1.449,720,225,72,56444,depth,55729,56444,,55949
3,2.583312e-05,sol_archive,depth,0,True,False,True,True,2.583312e-05,1.000e-05,1.449,720,225,53,42394,depth,41679,42394,,41899
3,2.958473e-05,sol_archive,depth,0,True,False,True,True,2.958473e-05,1.000e-05,1.449,720,225,444,331314,depth,330599,331314,,330819
4,1.125543e-05,sol_archive,depth,0,True,False,True,True,1.125543e-05,1.000e-05,1.449,720,225,335,251385,depth,250670,251385,,250890
4,1.225988e-05,sol_archive,depth,0,True,False,True,True,1.225988e-05,1.000e-05,1.449,720,225,211,159935,depth,159220,159935,,159440
