seed,f,source,kind,near_deep,released,level_ok,sigma_floor_ok,stagnated,basin_best,level,sigma_over_floor,no_improve,stag_need,spill_i,spill_evals,binding,hunt_start,first_sigma,first_level,first_stag
12,1.063224e-05,sol_archive,depth,0,True,False,True,True,1.063224e-05,1.000e-05,1.449,720,225,405,301933,depth,301218,301933,,301438
12,1.156341e-05,sol_archive,depth,0,True,False,True,True,1.156341e-05,1.000e-05,1.449,720,225,338,252498,depth,251783,252498,,252003
12,1.160914e-05,sol_archive,depth,0,True,False,True,True,1.160914e-05,1.000e-05,1.449,720,225,337,251758,depth,251043,251758,,251263
12,1.166690e-05,sol_archive,depth,0,True,False,True,True,1.166690e-05,1.000e-05,1.449,720,225,427,318128,depth,317413,318128,,317633
12,1.184965e-05,sol_archive,depth,0,True,False,True,True,1.184965e-05,1.000e-05,1.449,720,225,489,363808,depth,363093,363808,,363313
12,1.197032e-05,sol_archive,depth,0,True,False,True,True,1.197032e-05,1.000e-05,1.449,720,225,453,337293,depth,336578,337293,,336798
12,1.341317e-05,sol_archive,depth,0,True,False,True,True,1.341317e-05,1.000e-05,1.449,720,225,23,20073,depth,19358,20073,,19578
12,1.361732e-05,sol_archive,depth,0,True,False,True,True,1.361732e-05,1.000e-05,1.449,720,225,261,195643,depth,194928,195643,,195148
12,1.386599e-05,sol_archive,depth,0,True,False,True,True,1.386599e-05,1.000e-05,1.449,720,225,56,44428,depth,43713,44428,,43933
13,1.086861e-05,sol_archive,depth,0,True,False,True,True,1.086861e-05,1.000e-05,1.449,720,225,538,399404,depth,398689,399404,,398909
13,1.094598e-05,sol_archive,depth,0,True,False,True,True,1.094598e-05,1.000e-05,1.449,720,225,479,355864,depth,355149,355864,,355369
13,1.108794e-05,sol_archive,depth,0,True,False,True,True,1.108794e-05,1.000e-05,1.449,720,225,344,256329,depth,255614,256329,,255834
13,1.135890e-05,sol_archive,depth,0,True,False,True,True,1.135890e-05,1.000e-05,1.449,720,225,434,322714,depth,321999,322714,,322219
13,1.137563e-05,sol_archive,depth,0,True,False,True,True,1.137563e-05,1.000e-05,1.449,720,225,52,41074,depth,40359,41074,,40579
13,1.161001e-05,sol_archive,depth,0,True,False,True,True,1.161001e-05,1.000e-05,1.449,720,225,114,86754,depth,86039,86754,,86259
13,1.209845e-05,sol_archive,depth,0,True,False,True,True,1.209845e-05,1.000e-05,1.449,720,225,465,345549,depth,344834,345549,,345054
13,1.295271e-05,sol_archive,depth,0,True,False,True,True,1.295271e-05,1.000e-05,1.449,720,225,158,119194,depth,118479,119194,,118699
13,1.299791e-05,sol_archive,depth,0,True,False,True,True,1.299791e-05,1.000e-05,1.449,720,225,201,150869,depth,150154,150869,,150374
13,1.318213e-05,sol_archive,depth,0,True,False,True,True,1.318213e-05,1.000e-05,1.449,720,225,144,108874,depth,108159,108874,,108379
13,1.396376e-05,sol_archive,depth,0,True,False,True,True,1.396376e-05,1.000e-05,1.449,720,225,496,368409,depth,367694,368409,,367914
14,1.008780e-05,sol_archive,depth,0,True,False,True,True,1.008780e-05,1.000e-05,1.449,720,225,91,70528,depth,69813,70528,,70033
14,1.041326e-05,sol_archive,depth,0,True,False,True,True,1.041326e-05,1.000e-05,1.449,720,225,40,32943,depth,32228,32943,,32448
14,1.041694e-05,sol_archive,depth,0,True,False,True,True,1.041694e-05,1.000e-05,1.449,720,225,57,45488,depth,44773,45488,,44993
14,1.092093e-05,sol_archive,depth,0,True,False,True,True,1.092093e-05,1.000e-05,1.449,720,225,181,137018,depth,136303,137018,,136523
14,1.157969e-05,sol_archive,depth,0,True,False,True,True,1.157969e-05,1.000e-05,1.449,720,225,48,38843,depth,38128,38843,,38348
14,1.162870e-05,sol_archive,depth,0,True,False,True,True,1.162870e-05,1.000e-05,1.449,720,225,251,188618,depth,187903,188618,,188123
14,1.227180e-05,sol_archive,depth,0,True,False,True,True,1.227180e-05,1.000e-05,1.449,720,225,391,291863,depth,291148,291863,,291368
14,1.379128e-05,sol_archive,depth,0,True,False,True,True,1.379128e-05,1.000e-05,1.449,720,225,490,364913,depth,364198,364913,,364418
14,1.394361e-05,sol_archive,depth,0,True,False,True,True,1.394361e-05,1.000e-05,1.449,720,225,269,201878,depth,201163,201878,,201383
