function,method,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N04-Himmelblau,NCDE,1,2500,4,30,1.0000,0.7500,0.5000,0.5000,0.5000
N04-Himmelblau,NCDE,2,2500,4,30,1.0000,1.0000,0.7500,0.5000,0.5000
N04-Himmelblau,NM-Restart,0,2500,4,13,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NM-Restart,1,2500,4,13,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NM-Restart,2,2500,4,13,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,r3pso,0,2500,4,30,1.0000,1.0000,0.2500,0.2500,0.2500
N04-Himmelblau,r3pso,1,2500,4,30,1.0000,1.0000,0.7500,0.7500,0.7500
N04-Himmelblau,r3pso,2,2500,4,30,1.0000,1.0000,0.7500,0.7500,0.7500
N04-Himmelblau,MC-ESO,0,5000,4,30,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,MC-ESO,1,5000,4,29,0.7500,0.7500,0.7500,0.5000,0.5000
N04-Himmelblau,MC-ESO,2,5000,4,31,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,0,5000,4,4,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,1,5000,4,4,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,2,5000,4,5,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NCDE,0,5000,4,30,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NCDE,1,5000,4,30,1.0000,1.0000,0.5000,0.5000,0.5000
N04-Himmelblau,NCDE,2,5000,4,30,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,NM-Restart,0,5000,4,26,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NM-Restart,1,5000,4,26,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NM-Restart,2,5000,4,25,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,r3pso,0,5000,4,30,1.0000,0.7500,0.7500,0.7500,0.5000
N04-Himmelblau,r3pso,1,5000,4,30,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,r3pso,2,5000,4,30,0.7500,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,MC-ESO,0,10000,4,43,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,MC-ESO,1,10000,4,42,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,MC-ESO,2,10000,4,42,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,0,10000,4,4,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,1,10000,4,4,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NMMSO,2,10000,4,4,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NCDE,0,10000,4,30,1.0000,1.0000,1.0000,1.0000,0.7500
N04-Himmelblau,NCDE,1,10000,4,30,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NCDE,2,10000,4,30,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NM-Restart,0,10000,4,51,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NM-Restart,1,10000,4,51,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,NM-Restart,2,10000,4,51,1.0000,1.0000,1.0000,1.0000,1.0000
N04-Himmelblau,r3pso,0,10000,4,30,1.0000,0.7500,0.7500,0.7500,0.5000
N04-Himmelblau,r3pso,1,10000,4,30,1.0000,0.7500,0.7500,0.7500,0.7500
N04-Himmelblau,r3pso,2,10000,4,30,0.7500,0.7500,0.7500,0.7500,0.7500
N10-ModRastrigin2D,MC-ESO,0,4000,12,28,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,MC-ESO,1,4000,12,28,0.4167,0.4167,0.4167,0.4167,0.4167
N10-ModRastrigin2D,MC-ESO,2,4000,12,27,0.3333,0.3333,0.3333,0.2500,0.2500
N10-ModRastrigin2D,NMMSO,0,4000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,1,4000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,2,4000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,0,4000,12,30,1.0000,0.9167,0.7500,0.2500,0.0833
N10-ModRastrigin2D,NCDE,1,4000,12,30,1.0000,1.0000,1.0000,0.7500,0.3333
N10-ModRastrigin2D,NCDE,2,4000,12,30,1.0000,0.8333,0.6667,0.5000,0.1667
N10-ModRastrigin2D,NM-Restart,0,4000,12,24,0.7500,0.7500,0.7500,0.7500,0.7500
N10-ModRastrigin2D,NM-Restart,1,4000,12,24,0.9167,0.9167,0.9167,0.9167,0.9167
N10-ModRastrigin2D,NM-Restart,2,4000,12,23,0.8333,0.8333,0.8333,0.8333,0.8333
N10-ModRastrigin2D,r3pso,0,4000,12,30,0.6667,0.6667,0.5833,0.5833,0.5833
N10-ModRastrigin2D,r3pso,1,4000,12,30,0.4167,0.4167,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,2,4000,12,30,0.5000,0.5000,0.4167,0.4167,0.4167
N10-ModRastrigin2D,MC-ESO,0,10000,12,40,0.8333,0.8333,0.8333,0.8333,0.8333
N10-ModRastrigin2D,MC-ESO,1,10000,12,40,0.7500,0.7500,0.7500,0.7500,0.7500
N10-ModRastrigin2D,MC-ESO,2,10000,12,41,0.6667,0.6667,0.6667,0.6667,0.6667
N10-ModRastrigin2D,NMMSO,0,10000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,1,10000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,2,10000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,0,10000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,1,10000,12,30,1.0000,1.0000,1.0000,1.0000,0.8333
N10-ModRastrigin2D,NCDE,2,10000,12,30,1.0000,1.0000,1.0000,0.8333,0.8333
N10-ModRastrigin2D,NM-Restart,0,10000,12,58,0.9167,0.9167,0.9167,0.9167,0.9167
N10-ModRastrigin2D,NM-Restart,1,10000,12,59,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,2,10000,12,59,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,r3pso,0,10000,12,30,0.6667,0.6667,0.6667,0.5833,0.5833
N10-ModRastrigin2D,r3pso,1,10000,12,30,0.4167,0.4167,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,2,10000,12,30,0.5000,0.5000,0.4167,0.4167,0.4167
N10-ModRastrigin2D,MC-ESO,0,20000,12,57,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,1,20000,12,58,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,2,20000,12,59,0.9167,0.9167,0.9167,0.9167,0.9167
N10-ModRastrigin2D,NMMSO,0,20000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,1,20000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,2,20000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,0,20000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,1,20000,12,30,1.0000,1.0000,1.0000,1.0000,0.8333
N10-ModRastrigin2D,NCDE,2,20000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,0,20000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,1,20000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,2,20000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,r3pso,0,20000,12,30,0.6667,0.6667,0.6667,0.5833,0.5833
N10-ModRastrigin2D,r3pso,1,20000,12,30,0.4167,0.4167,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,2,20000,12,30,0.5000,0.5000,0.4167,0.4167,0.4167
N10-ModRastrigin2D,MC-ESO,0,40000,12,92,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,1,40000,12,93,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,2,40000,12,96,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,0,40000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,1,40000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,2,40000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,0,40000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,1,40000,12,30,1.0000,1.0000,1.0000,1.0000,0.9167
N10-ModRastrigin2D,NCDE,2,40000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,0,40000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,1,40000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,2,40000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,r3pso,0,40000,12,30,0.6667,0.6667,0.5833,0.5833,0.5833
N10-ModRastrigin2D,r3pso,1,40000,12,30,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,2,40000,12,30,0.5000,0.5000,0.4167,0.4167,0.4167
N06-Shubert2D,MC-ESO,0,4000,18,26,0.1667,0.1667,0.1667,0.0556,0.0556
N06-Shubert2D,MC-ESO,1,4000,18,26,0.2222,0.1667,0.1667,0.1667,0.0556
N06-Shubert2D,MC-ESO,2,4000,18,26,0.2222,0.2222,0.2222,0.1667,0.0556
N06-Shubert2D,NMMSO,0,4000,18,50,0.1667,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NMMSO,1,4000,18,39,0.1111,0.0556,0.0556,0.0000,0.0000
N06-Shubert2D,NMMSO,2,4000,18,38,0.1111,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,0,4000,18,30,0.0556,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,1,4000,18,30,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,2,4000,18,30,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,0,4000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,1,4000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,2,4000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,r3pso,0,4000,18,30,0.3889,0.2778,0.2778,0.2222,0.2222
N06-Shubert2D,r3pso,1,4000,18,30,0.3333,0.2778,0.2778,0.2222,0.2222
N06-Shubert2D,r3pso,2,4000,18,30,0.2778,0.2778,0.2222,0.2222,0.2222
N06-Shubert2D,MC-ESO,0,10000,18,39,0.4444,0.4444,0.4444,0.3889,0.1111
N06-Shubert2D,MC-ESO,1,10000,18,39,0.5000,0.5000,0.5000,0.5000,0.1667
N06-Shubert2D,MC-ESO,2,10000,18,39,0.6667,0.6111,0.6111,0.3889,0.0556
N06-Shubert2D,NMMSO,0,10000,18,50,0.6667,0.5556,0.4444,0.4444,0.3333
N06-Shubert2D,NMMSO,1,10000,18,55,0.6667,0.6111,0.4444,0.2222,0.2222
N06-Shubert2D,NMMSO,2,10000,18,63,0.6667,0.4444,0.4444,0.2778,0.1111
N06-Shubert2D,NCDE,0,10000,18,30,0.1111,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,1,10000,18,30,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,2,10000,18,30,0.0556,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,0,10000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,1,10000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,2,10000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,r3pso,0,10000,18,30,0.3889,0.3333,0.3333,0.3333,0.3333
N06-Shubert2D,r3pso,1,10000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,2,10000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,MC-ESO,0,20000,18,56,0.7778,0.7778,0.7778,0.7778,0.1111
N06-Shubert2D,MC-ESO,1,20000,18,55,0.7778,0.7778,0.7778,0.7778,0.2222
N06-Shubert2D,MC-ESO,2,20000,18,56,0.8333,0.8333,0.8333,0.6111,0.1111
N06-Shubert2D,NMMSO,0,20000,18,61,0.9444,0.8889,0.8889,0.8889,0.8333
N06-Shubert2D,NMMSO,1,20000,18,68,0.7778,0.7778,0.7778,0.7222,0.6667
N06-Shubert2D,NMMSO,2,20000,18,74,0.8333,0.7778,0.7222,0.6667,0.4444
N06-Shubert2D,NCDE,0,20000,18,30,0.1667,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,1,20000,18,30,0.2778,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,2,20000,18,30,0.0556,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,0,20000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,1,20000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,2,20000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,r3pso,0,20000,18,30,0.3889,0.3333,0.3333,0.3333,0.3333
N06-Shubert2D,r3pso,1,20000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,2,20000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,MC-ESO,0,40000,18,89,0.9444,0.9444,0.9444,0.8889,0.2222
N06-Shubert2D,MC-ESO,1,40000,18,88,0.9444,0.9444,0.9444,0.9444,0.3333
N06-Shubert2D,MC-ESO,2,40000,18,88,1.0000,1.0000,1.0000,0.9444,0.3333
N06-Shubert2D,NMMSO,0,40000,18,80,1.0000,1.0000,1.0000,1.0000,1.0000
N06-Shubert2D,NMMSO,1,40000,18,78,1.0000,1.0000,1.0000,1.0000,1.0000
N06-Shubert2D,NMMSO,2,40000,18,73,1.0000,1.0000,1.0000,1.0000,1.0000
N06-Shubert2D,NCDE,0,40000,18,30,0.3889,0.2222,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,1,40000,18,30,0.5000,0.1667,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,2,40000,18,30,0.2222,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,0,40000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,1,40000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NM-Restart,2,40000,18,1,0.0000,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,r3pso,0,40000,18,30,0.3889,0.3333,0.3333,0.3333,0.3333
N06-Shubert2D,r3pso,1,40000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,2,40000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N07-Vincent2D,MC-ESO,0,4000,36,29,0.1111,0.1111,0.1111,0.1111,0.1111
N07-Vincent2D,MC-ESO,1,4000,36,27,0.0833,0.0833,0.0833,0.0833,0.0833
N07-Vincent2D,MC-ESO,2,4000,36,28,0.3056,0.1111,0.1111,0.1111,0.1111
N07-Vincent2D,NMMSO,0,4000,36,26,0.6944,0.6389,0.6389,0.6389,0.5556
N07-Vincent2D,NMMSO,1,4000,36,33,0.8889,0.8889,0.8333,0.7778,0.4722
N07-Vincent2D,NMMSO,2,4000,36,24,0.6111,0.5556,0.5556,0.4167,0.4167
N07-Vincent2D,NCDE,0,4000,36,30,0.4167,0.3333,0.2500,0.0833,0.0556
N07-Vincent2D,NCDE,1,4000,36,30,0.3889,0.3889,0.1667,0.0833,0.0833
N07-Vincent2D,NCDE,2,4000,36,30,0.4722,0.4167,0.3333,0.0833,0.0278
N07-Vincent2D,NM-Restart,0,4000,36,23,0.2778,0.2778,0.2778,0.2778,0.2778
N07-Vincent2D,NM-Restart,1,4000,36,23,0.3056,0.3056,0.3056,0.3056,0.3056
N07-Vincent2D,NM-Restart,2,4000,36,23,0.3333,0.3333,0.3333,0.3333,0.3333
N07-Vincent2D,r3pso,0,4000,36,30,0.1944,0.1667,0.1111,0.1111,0.1111
N07-Vincent2D,r3pso,1,4000,36,30,0.1667,0.1389,0.1111,0.1111,0.1111
N07-Vincent2D,r3pso,2,4000,36,30,0.1944,0.1944,0.1389,0.1389,0.1389
N07-Vincent2D,MC-ESO,0,10000,36,43,0.3056,0.1389,0.1389,0.1389,0.1389
N07-Vincent2D,MC-ESO,1,10000,36,43,0.1667,0.1667,0.1667,0.1667,0.1389
N07-Vincent2D,MC-ESO,2,10000,36,41,0.2222,0.2222,0.2222,0.1944,0.1944
N07-Vincent2D,NMMSO,0,10000,36,30,0.8333,0.8333,0.8333,0.8056,0.8056
N07-Vincent2D,NMMSO,1,10000,36,30,0.8333,0.8333,0.8333,0.8333,0.8056
N07-Vincent2D,NMMSO,2,10000,36,31,0.8333,0.8333,0.8333,0.8333,0.8333
N07-Vincent2D,NCDE,0,10000,36,30,0.3889,0.3611,0.3611,0.2500,0.1389
N07-Vincent2D,NCDE,1,10000,36,30,0.3889,0.3889,0.3889,0.2500,0.1389
N07-Vincent2D,NCDE,2,10000,36,30,0.4444,0.4167,0.4167,0.3611,0.0833
N07-Vincent2D,NM-Restart,0,10000,36,56,0.4722,0.4722,0.4722,0.4722,0.4722
N07-Vincent2D,NM-Restart,1,10000,36,56,0.4167,0.4167,0.4167,0.4167,0.4167
N07-Vincent2D,NM-Restart,2,10000,36,56,0.4444,0.4444,0.4444,0.4444,0.4444
N07-Vincent2D,r3pso,0,10000,36,30,0.1667,0.1389,0.1389,0.1111,0.1111
N07-Vincent2D,r3pso,1,10000,36,30,0.1389,0.1389,0.1389,0.1111,0.1111
N07-Vincent2D,r3pso,2,10000,36,30,0.1944,0.1667,0.1667,0.1389,0.1389
N07-Vincent2D,MC-ESO,0,20000,36,63,0.1944,0.1944,0.1944,0.1944,0.1944
N07-Vincent2D,MC-ESO,1,20000,36,61,0.1667,0.1667,0.1667,0.1667,0.1667
N07-Vincent2D,MC-ESO,2,20000,36,60,0.2222,0.2222,0.2222,0.2222,0.2222
N07-Vincent2D,NMMSO,0,20000,36,36,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NMMSO,1,20000,36,36,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NMMSO,2,20000,36,37,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NCDE,0,20000,36,30,0.4167,0.3611,0.3611,0.3056,0.1389
N07-Vincent2D,NCDE,1,20000,36,30,0.4167,0.3889,0.3889,0.3333,0.1667
N07-Vincent2D,NCDE,2,20000,36,30,0.4444,0.4167,0.4167,0.3889,0.3611
N07-Vincent2D,NM-Restart,0,20000,36,100,0.5556,0.5556,0.5556,0.5556,0.5556
N07-Vincent2D,NM-Restart,1,20000,36,100,0.5278,0.5278,0.5278,0.5278,0.5278
N07-Vincent2D,NM-Restart,2,20000,36,100,0.5833,0.5833,0.5833,0.5833,0.5833
N07-Vincent2D,r3pso,0,20000,36,30,0.1389,0.1389,0.1389,0.1111,0.1111
N07-Vincent2D,r3pso,1,20000,36,30,0.1389,0.1389,0.1389,0.1111,0.1111
N07-Vincent2D,r3pso,2,20000,36,30,0.1389,0.1389,0.1389,0.1389,0.1389
N07-Vincent2D,MC-ESO,0,40000,36,100,0.4722,0.2778,0.2500,0.2500,0.2500
N07-Vincent2D,MC-ESO,1,40000,36,100,0.2500,0.1944,0.1944,0.1944,0.1944
N07-Vincent2D,MC-ESO,2,40000,36,97,0.3611,0.3333,0.3333,0.3333,0.3056
N07-Vincent2D,NMMSO,0,40000,36,36,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NMMSO,1,40000,36,36,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NMMSO,2,40000,36,36,1.0000,1.0000,1.0000,1.0000,1.0000
N07-Vincent2D,NCDE,0,40000,36,30,0.3889,0.3889,0.3889,0.3056,0.2778
N07-Vincent2D,NCDE,1,40000,36,30,0.4167,0.4167,0.4167,0.3611,0.1667
N07-Vincent2D,NCDE,2,40000,36,30,0.4444,0.4167,0.4167,0.3889,0.3889
N07-Vincent2D,NM-Restart,0,40000,36,100,0.4444,0.4444,0.4444,0.4444,0.4444
N07-Vincent2D,NM-Restart,1,40000,36,100,0.6667,0.6667,0.6667,0.6667,0.6667
N07-Vincent2D,NM-Restart,2,40000,36,100,0.6111,0.6111,0.6111,0.6111,0.6111
N07-Vincent2D,r3pso,0,40000,36,30,0.1389,0.1389,0.1389,0.1111,0.1111
N07-Vincent2D,r3pso,1,40000,36,30,0.1111,0.1111,0.1111,0.1111,0.1111
N07-Vincent2D,r3pso,2,40000,36,30,0.1389,0.1389,0.1389,0.1389,0.1389
N08-Shubert3D,MC-ESO,0,8000,81,34,0.0370,0.0370,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO,1,8000,81,33,0.0741,0.0741,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO,2,8000,81,30,0.0494,0.0370,0.0123,0.0123,0.0123
N08-Shubert3D,NMMSO,0,8000,81,76,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,1,8000,81,70,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,2,8000,81,87,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,0,8000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,1,8000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,2,8000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,0,8000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,1,8000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,2,8000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,r3pso,0,8000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,1,8000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,2,8000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,MC-ESO,0,20000,81,51,0.1481,0.1235,0.0370,0.0123,0.0123
N08-Shubert3D,MC-ESO,1,20000,81,50,0.2099,0.1852,0.0370,0.0123,0.0123
N08-Shubert3D,MC-ESO,2,20000,81,49,0.2099,0.2099,0.0494,0.0123,0.0123
N08-Shubert3D,NMMSO,0,20000,81,111,0.0247,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,1,20000,81,97,0.0123,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,2,20000,81,101,0.0247,0.0123,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,0,20000,81,30,0.0123,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,1,20000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,2,20000,81,30,0.0741,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,0,20000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,1,20000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,2,20000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,r3pso,0,20000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,1,20000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,2,20000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,MC-ESO,0,40000,81,80,0.3333,0.3086,0.0864,0.0123,0.0123
N08-Shubert3D,MC-ESO,1,40000,81,78,0.3086,0.2840,0.0864,0.0123,0.0123
N08-Shubert3D,MC-ESO,2,40000,81,79,0.3580,0.3580,0.1605,0.0123,0.0123
