function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct,x0,x1
N06-Shubert2D,18,0,23,16640,0.00010232163714363196,1,1,0.00011660870706132842,585,0,-0.8001421365,4.857940535
N06-Shubert2D,18,0,24,17225,2.0531351935915154e-05,1,1,0.00022338565306704358,565,1,-7.708224687,-7.083475954
N06-Shubert2D,18,0,25,17825,0.00014855955285497657,1,1,0.00013718671418979815,580,0,-7.08335198,-7.708110937
N06-Shubert2D,18,0,26,18450,9.3300302296484e-05,1,1,6.0870473890432556e-05,605,0,-1.424975501,-7.083638896
N06-Shubert2D,18,0,27,19025,8.343205328742442e-05,1,1,0.0003091842949024825,555,1,-0.8004774818,4.857944584
N06-Shubert2D,18,0,28,19665,0.00010421267160154457,1,1,3.7382079777961895e-05,620,1,-7.708335568,-0.800105097
N06-Shubert2D,18,1,0,2655,8.526512829121202e-14,1,1,1e-06,901,1,4.85805688,-0.8003210999
N06-Shubert2D,18,1,1,3300,2.40398078403814e-05,1,1,3.177476781126761e-05,625,0,4.857958014,-0.8002972235
N06-Shubert2D,18,1,2,3900,4.3663784225600466e-05,1,1,0.00013718671418979815,580,0,5.482750887,-1.425209414
N06-Shubert2D,18,1,3,4460,5.373627558924454e-05,1,1,0.0005034549886464197,540,0,-1.425082629,-0.8001724225
N06-Shubert2D,18,1,4,5110,1.4349905768540339e-05,1,1,2.7008552639577468e-05,630,0,-0.8002432528,-1.425108155
N06-Shubert2D,18,1,5,5750,7.28156691991444e-05,1,1,3.7382079777961895e-05,620,0,-1.425069531,-7.083677555
N06-Shubert2D,18,1,6,6365,7.509530672678011e-05,1,1,8.424979085180978e-05,595,0,-0.8004472199,-1.424997516
N06-Shubert2D,18,1,7,7010,3.39244024587515e-05,1,1,3.177476781126761e-05,625,0,-1.425038988,-0.8002379481
N06-Shubert2D,18,1,8,7670,1.640333729824306e-05,1,1,1.951367928209472e-05,640,1,-7.083553245,-7.708243323
N06-Shubert2D,18,1,9,8260,3.830483947808716e-05,1,1,0.00018987780510698704,570,1,-1.425013494,5.482922524
N06-Shubert2D,18,1,10,8895,6.580488886243074e-05,1,1,4.397891738583752e-05,615,1,-7.708146509,-7.083523225
N06-Shubert2D,18,1,11,9530,9.082364499590767e-06,1,1,4.397891738583752e-05,615,1,-1.425073544,-7.083475864
N06-Shubert2D,18,1,12,10170,6.144621829662356e-05,1,1,3.7382079777961895e-05,620,0,5.483027026,4.85802182
N06-Shubert2D,18,1,13,10780,2.8193395138487176e-05,1,1,9.911740100212916e-05,590,1,-0.8002649977,-7.708218278
N06-Shubert2D,18,1,14,11420,3.146044201685072e-05,1,1,3.7382079777961895e-05,620,1,-0.8002739406,4.858163599
N06-Shubert2D,18,1,15,12015,6.701099266592792e-05,1,1,0.000161396134340939,575,0,-0.8002567298,4.858214428
N06-Shubert2D,18,1,16,12675,1.4061427975775587e-05,1,1,1.951367928209472e-05,640,1,-0.800249154,-1.425161975
N06-Shubert2D,18,1,17,13310,1.8011023115604985e-05,1,1,4.397891738583752e-05,615,1,5.48295154,-1.425106153
N06-Shubert2D,18,1,18,13985,1.6269837459503833e-05,1,1,1.1983838289116417e-05,655,1,4.85801732,5.482939785
N06-Shubert2D,18,1,19,14620,4.939663318737075e-05,1,1,4.397891738583752e-05,615,0,-1.425194561,-7.0836396
N06-Shubert2D,18,1,20,15360,63.15413806272194,1,1,1.4489118831577082e-06,720,1,-0.8003181263,-0.1953793369
N06-Shubert2D,18,1,21,15970,7.672359743082779e-07,1,1,9.911740100212916e-05,590,1,-1.42511043,-0.800318747
N06-Shubert2D,18,1,22,16565,6.294313908483673e-05,1,1,0.000161396134340939,575,0,-7.083613716,-7.708186899
N06-Shubert2D,18,1,23,17165,3.5169421551017876e-05,1,1,0.00013718671418979815,580,1,-7.083416915,-1.425041848
N06-Shubert2D,18,1,24,17825,3.9604636071999266e-05,1,1,1.951367928209472e-05,640,1,5.4829103,4.858179262
N06-Shubert2D,18,1,25,18455,8.776330190585213e-06,1,1,5.173990280686767e-05,610,1,-7.083562513,4.858028933
N06-Shubert2D,18,1,26,19080,2.0186894573726022e-05,1,1,6.0870473890432556e-05,605,1,-7.708278163,-0.80023278
N06-Shubert2D,18,1,27,19660,2.93375879323321e-05,1,1,0.0002628066506671101,560,0,5.482929444,-1.425035951
N06-Shubert2D,18,2,0,2570,8.526512829121202e-14,1,1,1e-06,901,1,-7.083506406,-7.708313737
N06-Shubert2D,18,2,1,3035,5.8991386708839855e-06,1,1,0.002081760991507147,445,1,4.858106488,5.482872798
N06-Shubert2D,18,2,2,3610,8.873240929574422e-05,1,1,0.0003091842949024825,555,0,-1.425322462,5.482843043
N06-Shubert2D,18,2,3,4175,3.777660856485454e-05,1,1,0.0004279367403494568,545,1,-7.083636812,4.858047682
N06-Shubert2D,18,2,4,4800,0.00013101837646445347,1,1,6.0870473890432556e-05,605,0,4.857965413,5.482639565
N06-Shubert2D,18,2,5,5365,0.00013455971921416676,1,1,0.0004279367403494568,545,0,-0.8001791749,-7.708510302
N06-Shubert2D,18,2,6,5930,5.265089311023985e-05,1,1,0.0004279367403494568,545,0,-7.083571554,-7.708449996
N06-Shubert2D,18,2,7,6545,8.834710195060325e-05,1,1,8.424979085180978e-05,595,1,-0.8003118409,4.858251359
N06-Shubert2D,18,2,8,7135,9.858139725338333e-05,1,1,0.00018987780510698704,570,0,-0.8002495468,-7.708507243
N06-Shubert2D,18,2,9,7750,6.573554639999202e-05,1,1,8.424979085180978e-05,595,0,-0.8002177376,-7.70844818
N06-Shubert2D,18,2,10,8370,8.845780297406236e-05,1,1,7.161232222403831e-05,600,1,4.85786229,-7.083516203
N06-Shubert2D,18,2,11,8925,8.278084825974474e-05,1,1,0.0005922999866428468,535,1,-7.708356703,-7.083317956
N06-Shubert2D,18,2,12,9395,9.80480391774563e-05,1,1,0.0019776729419317897,450,0,-7.083303538,-1.425073224
N06-Shubert2D,18,2,13,10015,6.212883627654264e-05,1,1,7.161232222403831e-05,600,1,-0.8002231511,-1.424995915
N06-Shubert2D,18,2,14,10600,8.572690950359174e-05,1,1,0.00022338565306704358,565,1,-7.708492094,-0.8002486863
N06-Shubert2D,18,2,15,11340,63.15413797490726,1,1,1.4489118831577082e-06,720,1,-7.083507712,-0.1953863267
N06-Shubert2D,18,2,16,11890,2.6245139508773718e-05,1,1,0.0006968235136974668,530,1,-1.425169771,5.482964576
N06-Shubert2D,18,2,17,12475,5.622412101047303e-05,1,1,0.00022338565306704358,565,1,-0.8001850249,-7.708394776
N06-Shubert2D,18,2,18,13030,0.00013964631472163092,1,1,0.0005922999866428468,535,1,-7.708543197,5.482776658
N06-Shubert2D,18,2,19,13600,6.379605054007698e-05,1,1,0.00036374622929703825,550,0,-0.8004108422,-1.425268917
N06-Shubert2D,18,2,20,14200,0.00010630565756741817,1,1,0.00013718671418979815,580,1,5.483074196,-7.708252062
N06-Shubert2D,18,2,21,14745,2.364529569831575e-05,1,1,0.0008197923690558432,525,1,5.482966816,4.858044126
N06-Shubert2D,18,2,22,15330,5.702878564761704e-05,1,1,0.00022338565306704358,565,1,4.858212782,-0.8003341625
N06-Shubert2D,18,2,23,15875,0.00011911023224797646,1,1,0.0008197923690558432,525,0,-0.8005508508,-1.425095938
N06-Shubert2D,18,2,24,16445,4.575559660224826e-05,1,1,0.00036374622929703825,550,0,4.858147159,5.482974248
N06-Shubert2D,18,2,25,17065,5.0617904975069905e-05,1,1,7.161232222403831e-05,600,0,4.857926624,5.482935004
N06-Shubert2D,18,2,26,17495,0.00013426038808006524,1,1,0.00298102507649495,410,0,-1.42488847,5.482868932
N06-Shubert2D,18,2,27,18115,0.00014973228334724809,1,1,7.161232222403831e-05,600,0,-1.425354945,5.48298102
N06-Shubert2D,18,2,28,18665,0.00013326855804507431,1,1,0.0006968235136974668,530,0,-0.8004779558,-1.424944445
N06-Shubert2D,18,2,29,19100,8.043250414857539e-05,1,1,0.002831973822670202,415,1,-1.425178354,-0.8005048611
N06-Shubert2D,18,2,30,19570,9.288089091796792e-05,1,1,0.0019776729419317897,450,1,-7.083709674,-1.425154417
N07-Vincent2D,36,0,0,2055,0.0,1,1,1e-06,901,1,7.706277265,2.19328005
N07-Vincent2D,36,0,1,2520,1.2435212437544862e-07,1,1,0.0020817609915071453,445,0,7.706680676,7.705913046
N07-Vincent2D,36,0,2,2900,3.447120300315021e-08,1,1,0.004978856123837879,360,0,7.706010626,4.111151725
N07-Vincent2D,36,0,3,3500,1.355177989825762e-07,1,1,0.00013718671418979804,580,1,4.111238977,4.111508165
N07-Vincent2D,36,0,4,3830,3.337517318069416e-08,1,1,0.00831559871714482,310,0,7.706263618,7.706558501
N07-Vincent2D,36,0,5,4220,2.1497067270725978e-07,1,1,0.004493417651763684,370,0,7.706836526,7.705832413
N07-Vincent2D,36,0,6,4880,2.3503810697711458e-07,1,1,1.9513679282094703e-05,640,1,7.706478362,0.3329873384
N07-Vincent2D,36,0,7,5340,3.562690653602374e-08,1,1,0.002191327359481206,440,1,4.111094367,7.706477115
N07-Vincent2D,36,0,8,5885,7.181164785041716e-08,1,1,0.0008197923690558426,525,0,4.11140514,7.706096013
N07-Vincent2D,36,0,9,6530,2.321769152491271e-07,1,1,3.177476781126759e-05,625,0,2.193110252,7.706719497
N07-Vincent2D,36,0,10,7055,2.193187297327981e-07,1,1,0.0011249005518634582,505,0,7.705752754,4.110942623
N07-Vincent2D,36,0,11,7485,1.4766688116729654e-07,1,1,0.0029810250764949484,410,0,7.706380259,4.111518306
N07-Vincent2D,36,0,12,7890,1.7117683759337865e-07,1,1,0.0038525439591808883,385,0,2.193455167,7.706444819
N07-Vincent2D,36,0,13,8385,1.160504760067127e-07,1,1,0.0015302856230763613,475,0,4.11121238,7.705752319
N07-Vincent2D,36,0,14,8865,1.5956487620094606e-07,1,1,0.0017848498300934385,460,0,7.705665769,7.706205874
N07-Vincent2D,36,0,15,9235,2.0637591491290408e-07,1,1,0.00551673808735499,350,0,4.11102092,7.705670331
N07-Vincent2D,36,0,16,9750,2.053626591003166e-08,1,1,0.0012464272042808403,495,1,7.706136374,4.111116396
N07-Vincent2D,36,0,17,10090,1.6404524849633617e-08,1,1,0.0075048278422232,320,1,7.70619883,7.706096102
N07-Vincent2D,36,0,18,10465,9.485923913032934e-08,1,1,0.00524090118298724,355,0,4.111290432,7.705828982
N07-Vincent2D,36,0,19,10920,6.367263072348806e-08,1,1,0.00230666037840127,435,0,7.705913329,7.706140134
N07-Vincent2D,36,0,20,11430,2.1293968055502432e-07,1,1,0.0013120286360850952,490,0,4.111584771,7.706346746
N07-Vincent2D,36,0,21,11935,7.601295259895835e-08,1,1,0.001381082774826416,485,1,7.706094311,1.170030555
N07-Vincent2D,36,0,22,12375,1.7686531217364632e-07,1,1,0.0026903751315366905,420,0,7.706733343,7.705816689
N07-Vincent2D,36,0,23,12945,1.975328083325678e-07,1,1,0.0003637462292970379,550,1,1.170034024,7.705694919
N07-Vincent2D,36,0,24,13540,2.222505888216375e-07,1,1,0.00016139613434093888,575,0,7.706292467,1.169978493
N07-Vincent2D,36,0,25,13995,1.0150618146020918e-07,1,1,0.00230666037840127,435,0,7.706094029,7.706732848
N07-Vincent2D,36,0,26,14555,2.1862319732335322e-07,1,1,0.0005034549886464194,540,0,4.111481429,4.111476556
N07-Vincent2D,36,0,27,14980,1.7577230559950863e-07,1,1,0.003137921133152577,405,0,7.706911768,7.706154904
N07-Vincent2D,36,0,28,15355,1.1948049194465682e-07,1,1,0.00524090118298724,355,0,7.706481851,7.70676917
N07-Vincent2D,36,0,29,15800,1.5896297733686282e-07,1,1,0.0025558563749598557,425,0,7.706854543,7.706487916
N07-Vincent2D,36,0,30,16345,1.6432357075046866e-07,1,1,0.0008197923690558426,525,0,4.111360076,7.706832407
N07-Vincent2D,36,0,31,16745,2.3143384542123613e-08,1,1,0.004055309430716725,380,1,2.193316147,7.706474468
N07-Vincent2D,36,0,32,17275,4.7435457339872755e-08,1,1,0.0010686555242702853,510,0,4.111348839,7.706482536
N07-Vincent2D,36,0,33,17875,2.2659712950456878e-07,1,1,0.00013718671418979804,580,0,4.111361023,7.70560269
N07-Vincent2D,36,0,34,18290,1.9687387764477648e-07,1,1,0.003476920923160751,395,0,4.111213665,4.111571933
N07-Vincent2D,36,0,35,18660,2.390065005908326e-07,1,1,0.00551673808735499,350,0,7.705749184,7.706814744
N07-Vincent2D,36,0,36,19185,2.428581451496825e-07,1,1,0.0011249005518634582,505,0,4.110831654,7.705991835
N07-Vincent2D,36,0,37,19675,1.3175617308291976e-07,1,1,0.0016108269716593277,470,0,7.706788952,7.706503461
N07-Vincent2D,36,1,0,1870,0.0,1,1,1e-06,900,1,7.706277265,4.111207145
N07-Vincent2D,36,1,1,2395,7.304458415902104e-08,1,1,0.0011249005518634582,505,0,7.706350765,4.111425886
N07-Vincent2D,36,1,2,2840,1.0859657928463662e-07,1,1,0.0025558563749598557,425,0,7.706154489,7.706770116
N07-Vincent2D,36,1,3,3335,1.0629839541920205e-07,1,1,0.0015302856230763613,475,1,4.111470584,4.11115745
N07-Vincent2D,36,1,4,3855,9.473763817879899e-08,1,1,0.0011841058440667982,500,0,7.706043274,4.111427303
N07-Vincent2D,36,1,5,4485,1.8831808090702395e-07,1,1,5.1739902806867635e-05,610,0,4.110850744,2.193271011
N07-Vincent2D,36,1,6,5015,1.2657395931370274e-07,1,1,0.0010686555242702853,510,0,4.111013641,4.110987764
N07-Vincent2D,36,1,7,5565,8.160675024626585e-09,1,1,0.0006968235136974662,530,1,7.706150351,2.193296352
N07-Vincent2D,36,1,8,6065,3.11869516878005e-08,1,1,0.0014537713419225432,480,1,2.193242843,7.706515991
N07-Vincent2D,36,1,9,6500,1.291322064833622e-07,1,1,0.0028319738226702004,415,0,7.706605008,7.706723737
N07-Vincent2D,36,1,10,6965,1.4211304355526977e-08,1,1,0.0020817609915071453,445,0,7.70623189,4.111112159
N07-Vincent2D,36,1,11,7445,2.933782417002817e-08,1,1,0.0017848498300934385,460,0,7.706539546,7.706247301
N07-Vincent2D,36,1,12,7935,2.38809820807262e-07,1,1,0.0016108269716593277,470,0,4.111535149,4.11143926
N07-Vincent2D,36,1,13,8675,1.1457932026615048e-05,1,1,1.4489118831577078e-06,720,0,7.701990962,4.109621681
N07-Vincent2D,36,1,14,9240,1.572751184841792e-07,1,1,0.00042793674034945645,545,0,4.11098888,7.706731373
N07-Vincent2D,36,1,15,9690,1.7685618303175943e-07,1,1,0.002428063556211863,430,0,7.706853213,7.705979916
N07-Vincent2D,36,1,16,10140,1.8117049793708873e-07,1,1,0.002428063556211863,430,0,7.706336145,7.705623911
N07-Vincent2D,36,1,17,10715,3.918217839071758e-08,1,1,0.00030918429490248226,555,0,7.706153192,2.193200726
N07-Vincent2D,36,1,18,11235,5.887688037109484e-08,1,1,0.0011841058440667982,500,1,4.11119356,7.706650377
N07-Vincent2D,36,1,19,11765,2.0571922421108724e-07,1,1,0.0010686555242702853,510,0,7.705914696,4.110888299
N07-Vincent2D,36,1,20,12450,2.2026127743934865e-07,1,1,8.658323163886606e-06,665,0,2.193203396,7.705605958
N07-Vincent2D,36,1,21,13020,2.2374655284096434e-07,1,1,0.0003637462292970379,550,0,7.706339451,2.193073324
N07-Vincent2D,36,1,22,13500,8.269954110406985e-08,1,1,0.0017848498300934385,460,0,4.111261648,2.193402804
N07-Vincent2D,36,1,23,14015,9.778993459441665e-08,1,1,0.0012464272042808403,495,0,2.193394542,7.70601178
N07-Vincent2D,36,1,24,14500,8.070362800260966e-08,1,1,0.0016956073385887664,465,0,7.706713489,7.706239559
N07-Vincent2D,36,1,25,15060,8.565603071275518e-08,1,1,0.0005034549886464194,540,0,7.70671283,4.111144564
N07-Vincent2D,36,1,26,15640,1.8786869349085578e-07,1,1,0.0002628066506671099,560,1,7.705748247,1.170150727
N07-Vincent2D,36,1,27,16260,1.1518604292604095e-07,1,1,7.161232222403826e-05,600,0,7.706353819,2.193132783
N07-Vincent2D,36,1,28,17000,4.965879305318666e-06,1,1,1.4489118831577078e-06,720,1,0.6242413591,7.709708887
N07-Vincent2D,36,1,29,17375,2.4075963001024547e-08,1,1,0.00524090118298724,355,1,7.706066373,7.706164479
N07-Vincent2D,36,1,30,17805,8.427422804047069e-08,1,1,0.0029810250764949484,410,0,7.706223486,7.706721453
N07-Vincent2D,36,1,31,18250,8.989201116804679e-08,1,1,0.0025558563749598557,425,0,7.706653966,7.706009619
N07-Vincent2D,36,1,32,18800,1.103412694547501e-09,1,1,0.0006968235136974662,530,1,4.111182518,2.193273747
N07-Vincent2D,36,1,33,19540,4.83523415373277e-06,1,1,1.4489118831577078e-06,720,0,4.112392086,2.19255155
N07-Vincent2D,36,2,0,2150,0.0,1,1,1e-06,900,1,7.706277245,4.111207141
N07-Vincent2D,36,2,1,2590,2.591134784513116e-08,1,1,0.0026903751315366905,420,0,4.111324052,4.111269199
N07-Vincent2D,36,2,2,3330,2.926083846777061e-06,1,1,1.4489118831577078e-06,720,0,7.708858203,7.706817431
N07-Vincent2D,36,2,3,3875,4.033810718784281e-08,1,1,0.0008197923690558426,525,0,7.705996737,7.706146384
N07-Vincent2D,36,2,4,4480,1.691434603490194e-08,1,1,0.00011660870706132833,585,0,7.706082465,7.70622998
N07-Vincent2D,36,2,5,5035,1.3244970009651524e-08,1,1,0.0005922999866428463,535,0,4.111122131,7.706355164
N07-Vincent2D,36,2,6,5630,7.181231376218733e-08,1,1,0.00016139613434093888,575,0,4.111251713,2.193395174
N07-Vincent2D,36,2,7,6230,1.9643175974692895e-11,1,1,0.00013718671418979804,580,1,7.706273585,7.706283017
N07-Vincent2D,36,2,8,6790,2.2575320057782733e-08,1,1,0.0005034549886464194,540,0,7.706062688,4.111253609
N07-Vincent2D,36,2,9,7130,3.4785515468094275e-08,1,1,0.0075048278422232,320,0,7.706396519,7.706015711
N07-Vincent2D,36,2,10,7635,2.3956876926689574e-08,1,1,0.001381082774826416,485,0,7.706039208,7.70626177
N07-Vincent2D,36,2,11,8170,4.69441105988011e-08,1,1,0.001015222748056771,515,0,7.706468968,7.706003835
N07-Vincent2D,36,2,12,8695,4.7546070858217604e-08,1,1,0.0011249005518634582,505,0,4.111031573,7.706345327
N07-Vincent2D,36,2,13,9305,3.5666593678485015e-08,1,1,9.911740100212908e-05,590,0,7.706251303,7.705987346
N07-Vincent2D,36,2,14,9750,3.677523729983534e-08,1,1,0.0025558563749598557,425,0,7.706484164,7.706488325
N07-Vincent2D,36,2,15,10305,6.715217304442689e-08,1,1,0.0005922999866428463,535,1,2.193390804,7.706367233
N07-Vincent2D,36,2,16,10885,1.2105877633672435e-08,1,1,0.0002628066506671099,560,0,4.111255605,4.11113075
N07-Vincent2D,36,2,17,11495,6.807807695352608e-08,1,1,9.911740100212908e-05,590,1,4.111188141,2.19316605
N07-Vincent2D,36,2,18,12065,2.41719331217638e-08,1,1,0.0003637462292970379,550,1,7.706059828,2.193251387
N07-Vincent2D,36,2,19,12570,6.485125192412511e-08,1,1,0.001381082774826416,485,0,7.706579259,4.11134089
N07-Vincent2D,36,2,20,13100,1.2339352428725192e-08,1,1,0.0010686555242702853,510,0,7.706448436,7.706280422
N07-Vincent2D,36,2,21,13710,4.6532158570755655e-08,1,1,9.911740100212908e-05,590,0,4.11137577,4.111262148
N07-Vincent2D,36,2,22,14310,6.166024468789999e-08,1,1,0.00013718671418979804,580,0,4.111186888,7.705896437
N07-Vincent2D,36,2,23,14915,5.5907956042489104e-09,1,1,0.00011660870706132833,585,0,4.111258341,7.706213453
N07-Vincent2D,36,2,24,15485,3.5892065985976274e-08,1,1,0.0003637462292970379,550,0,4.111261936,7.706550596
N07-Vincent2D,36,2,25,16055,4.606921621963522e-08,1,1,0.0003637462292970379,550,0,4.111141396,7.705970264
N07-Vincent2D,36,2,26,16525,2.1553520079820032e-09,1,1,0.001977672941931788,450,1,4.111242834,4.111220685
N07-Vincent2D,36,2,27,17090,1.505893598707786e-08,1,1,0.00042793674034945645,545,1,7.706137636,1.17010816
N07-Vincent2D,36,2,28,17540,4.9235077126397186e-08,1,1,0.002428063556211863,430,0,7.706564175,7.706091148
N07-Vincent2D,36,2,29,18095,5.209333187039533e-09,1,1,0.0005922999866428463,535,1,4.11118963,7.70617097
N07-Vincent2D,36,2,30,18645,5.472106168191715e-08,1,1,0.0006968235136974662,530,0,7.706615918,7.706153558
N07-Vincent2D,36,2,31,19160,4.1500271219518936e-08,1,1,0.0012464272042808403,495,0,7.706342586,7.706584369
N07-Vincent2D,36,2,32,19680,5.730001506609739e-08,1,1,0.0011841058440667982,500,0,7.706112384,7.705947216
